round,draw_date,venue,draw_date_kyo,n1,n2,n3,n4,n5,n6,bonus,prize1_winners,prize2_winners,prize3_winners,prize4_winners,prize5_winners,prize1_amount,prize2_amount,prize3_amount,prize4_amount,prize5_amount,carryover
2080,2026-02-26,東京 宝くじドリーム館,2026/2/26,6,12,30,36,37,38,8,1,10,241,13400,198415,455170700,7439800,333300,6300,1000,0
2079,2026-02-23,東京 宝くじドリーム館,2026/2/23,5,11,15,17,24,39,31,0,16,311,13225,195301,0,3884800,215800,5300,1000,207185202
2078,2026-02-19,東京 宝くじドリーム館,2026/2/19,1,10,20,24,30,35,41,1,6,245,12042,181113,495292100,12821200,339000,7200,1000,0
2077,2026-02-16,東京 宝くじドリーム館,2026/2/16,17,18,23,24,26,43,10,0,4,155,9258,161757,0,17916200,499300,8800,1000,238876055
2076,2026-02-12,東京 宝くじドリーム館,2026/2/12,1,9,20,22,28,41,30,5,7,579,14943,195735,94842000,10800100,141000,5700,1000,0
2075,2026-02-09,東京 宝くじドリーム館,2026/2/9,7,10,14,16,35,37,11,0,2,177,10275,169978,0,33333300,406700,7400,1000,222215112
2074,2026-02-05,東京 宝くじドリーム館,2026/2/5,5,6,16,26,27,36,11,4,18,649,19672,263713,281563500,4987900,149400,5200,1000,0
2073,2026-02-02,東京 宝くじドリーム館,2026/2/2,2,12,14,24,26,29,8,0,13,378,17612,270616,0,6667900,247600,5600,1000,826984918
2072,2026-01-29,東京 宝くじドリーム館,2026/1/29,8,18,24,36,40,42,43,0,6,306,12711,188758,0,13209300,279700,7100,1000,538049454
2071,2026-01-26,東京 宝くじドリーム館,2026/1/26,15,24,29,32,33,35,14,0,4,253,11221,177707,0,18897900,322600,7600,1000,273871384
2070,2026-01-22,東京 宝くじドリーム館,2026/1/22,6,10,25,30,34,36,12,1,9,151,8966,156035,200000000,7397100,476100,8400,1000,21907185
2069,2026-01-19,東京 宝くじドリーム館,2026/1/19,6,17,23,27,33,35,4,9,11,361,15509,241214,86819200,8097000,266400,6500,1000,0
2068,2026-01-15,東京 宝くじドリーム館,2026/1/15,2,10,13,14,29,33,32,0,6,378,14922,223597,0,13131100,225000,6000,1000,484491749
2067,2026-01-12,東京 宝くじドリーム館,2026/1/12,3,4,12,15,32,42,31,0,6,195,10677,185401,0,11094200,368600,7100,1000,221877669
2066,2026-01-08,東京 宝くじドリーム館,2026/1/8,8,28,30,32,37,38,5,1,4,156,10434,185431,542887200,21275800,589100,9300,1000,0
2065,2026-01-05,東京 宝くじドリーム館,2026/1/5,6,18,21,31,37,40,3,0,5,215,10741,178338,0,15198300,381700,8000,1000,259218384
2064,2025-12-29,東京 宝くじドリーム館,2025/12/29,2,7,24,37,39,41,3,1,12,264,14217,227361,600000000,7315700,359100,7000,1000,5920512
2063,2025-12-25,東京 宝くじドリーム館,2025/12/25,4,28,29,30,38,42,15,0,6,144,9010,162075,0,13231600,595400,10000,1000,313298859
2062,2025-12-22,東京 宝くじドリーム館,2025/12/22,1,9,18,24,35,42,8,1,11,292,12385,192461,200000000,6782200,275900,6800,1000,48674501
2061,2025-12-18,東京 宝くじドリーム館,2025/12/18,5,6,13,21,33,34,40,1,3,319,11939,182215,276436400,23316400,236800,6600,1000,0
2060,2025-12-15,東京 宝くじドリーム館,2025/12/15,8,16,22,40,41,42,10,1,7,164,8955,147543,200000000,10426600,480600,9300,1000,43279462
2059,2025-12-11,東京 宝くじドリーム館,2025/12/11,2,13,26,28,38,43,3,2,6,193,10577,161791,110548300,11055100,371100,7100,1000,0
2058,2025-12-08,東京 宝くじドリーム館,2025/12/8,9,12,14,16,19,42,18,2,4,171,9488,172385,115587500,17338600,438000,8300,1000,0
2057,2025-12-04,東京 宝くじドリーム館,2025/12/4,5,7,21,22,38,41,24,3,7,263,13310,207944,217303700,11373600,326900,6800,1000,0
2056,2025-12-01,東京 宝くじドリーム館,2025/12/1,3,7,15,17,19,30,38,1,6,408,17973,262734,600000000,14641600,232500,5500,1000,386535047
2055,2025-11-27,東京 宝くじドリーム館,2025/11/27,11,12,14,17,21,26,2,0,9,258,13549,227553,0,8790700,331100,6600,1000,693711520
2054,2025-11-24,東京 宝くじドリーム館,2025/11/24,1,14,27,30,33,37,23,1,1,239,12213,203450,600000000,91661400,414100,8500,1000,429996617
2053,2025-11-20,東京 宝くじドリーム館,2025/11/20,20,28,31,35,37,41,13,0,4,145,9252,162769,0,21547200,641900,10600,1000,724468616
2052,2025-11-17,東京 宝くじドリーム館,2025/11/17,1,3,18,25,30,34,10,0,5,240,12225,195372,0,15641200,351900,7300,1000,437181358
2051,2025-11-13,東京 宝くじドリーム館,2025/11/13,3,15,27,28,31,39,20,2,15,481,17971,258708,600000000,6459800,217500,6100,1000,176502270
2050,2025-11-10,東京 宝くじドリーム館,2025/11/10,6,11,15,21,25,32,5,0,10,309,15774,248843,0,9002800,314600,6500,1000,1053519923
2049,2025-11-06,東京 宝くじドリーム館,2025/11/6,10,24,25,39,40,42,19,0,9,190,10720,179593,0,9503600,486100,9100,1000,753434862
2048,2025-11-03,東京 宝くじドリーム館,2025/11/3,8,13,18,32,37,43,27,0,7,162,10649,175084,0,11040800,515200,8200,1000,468334806
2047,2025-10-30,東京 宝くじドリーム館,2025/10/30,10,11,16,19,37,39,27,0,3,165,8955,155144,0,21072900,413700,8000,1000,210723088
2046,2025-10-27,東京 宝くじドリーム館,2025/10/27,2,5,10,22,25,38,14,3,21,470,16168,209575,65800600,2820100,136000,4100,1000,0
2045,2025-10-23,東京 宝くじドリーム館,2025/10/23,1,4,7,12,16,28,19,3,14,596,21477,272776,239377600,5008600,127000,3700,1000,0
2044,2025-10-20,東京 宝くじドリーム館,2025/10/20,1,6,11,26,33,40,14,0,6,291,13818,212520,0,13035600,290200,6400,1000,484403623
2043,2025-10-16,東京 宝くじドリーム館,2025/10/16,11,19,22,34,40,42,31,0,5,183,8573,142617,0,13422300,396000,8900,1000,223699102
2042,2025-10-13,東京 宝くじドリーム館,2025/10/13,9,14,29,38,41,43,12,1,5,179,9622,157062,470308700,15648900,472000,9200,1000,0
2041,2025-10-09,大阪 宝くじドリーム館,2025/10/9,4,19,22,24,32,38,11,0,13,233,10452,156707,0,4834800,291300,6800,1000,209502018
2040,2025-10-06,大阪 宝くじドリーム館,2025/10/6,7,12,14,15,24,30,32,1,8,301,14739,229684,474998900,9735400,279400,6000,1000,0
2039,2025-10-02,東京 宝くじドリーム館,2025/10/2,2,15,25,27,38,42,22,0,11,271,11331,169403,0,5874600,257500,6500,1000,215395177
2038,2025-09-29,東京 宝くじドリーム館,2025/9/29,5,31,37,39,41,42,33,1,10,156,8779,152703,468137300,8183100,566500,10600,1000,0
2037,2025-09-25,東京 宝くじドリーム館,2025/9/25,7,12,20,23,27,29,10,0,3,251,12515,188891,0,19538100,252100,5300,1000,195374667
2036,2025-09-22,東京 宝くじドリーム館,2025/9/22,7,10,17,26,35,42,33,1,7,275,11927,193947,454612800,11042500,303500,7300,1000,0
2035,2025-09-18,東京 宝くじドリーム館,2025/9/18,5,10,12,17,21,35,9,0,9,286,12973,187195,0,6565600,223100,5100,1000,196961791
2034,2025-09-15,東京 宝くじドリーム館,2025/9/15,2,13,22,25,35,37,17,2,9,198,10984,163768,106154000,7077100,347400,6600,1000,0
2033,2025-09-11,東京 宝くじドリーム館,2025/9/11,5,16,21,22,33,35,26,3,7,242,10699,167344,85086700,9946200,310700,7400,1000,0
2032,2025-09-08,東京 宝くじドリーム館,2025/9/8,8,15,27,33,37,39,31,1,7,366,12928,182907,200000000,9565500,197500,5900,1000,23188375
2031,2025-09-04,東京 宝くじドリーム館,2025/9/4,2,3,16,20,23,29,27,3,6,298,14158,218931,194184800,12899600,280400,6200,1000,0
2030,2025-09-01,東京 宝くじドリーム館,2025/9/1,3,7,28,29,32,36,13,0,4,264,12618,198695,0,18228100,298200,6500,1000,324569514
2029,2025-08-28,東京 宝くじドリーム館,2025/8/28,7,21,31,36,40,43,41,1,0,162,9379,164175,488049000,0,543500,9900,1000,81535997
2028,2025-08-25,東京 宝くじドリーム館,2025/8/25,6,10,12,19,21,42,16,0,6,334,15152,208583,0,10756700,208600,4800,1000,216271318
2027,2025-08-21,東京 宝くじドリーム館,2025/8/21,5,12,18,23,34,39,13,1,7,389,12260,169488,200000000,8620600,167500,5600,1000,1142580
2026,2025-08-18,東京 宝くじドリーム館,2025/8/18,2,5,8,11,20,26,28,6,20,649,21880,265529,71626100,3324400,110600,3400,1000,0
2025,2025-08-14,東京 宝くじドリーム館,2025/8/14,12,18,26,28,41,43,35,0,2,140,7663,135664,0,31221400,481600,9200,1000,208136262
2024,2025-08-11,東京 宝くじドリーム館,2025/8/11,10,13,16,29,34,42,21,2,8,191,8973,149650,130661400,8840400,399800,8900,1000,0
2023,2025-08-07,東京 宝くじドリーム館,2025/8/7,1,20,28,29,31,43,5,1,1,152,7976,132339,200000000,67678000,480800,9600,1000,25586133
2022,2025-08-04,東京 宝くじドリーム館,2025/8/4,2,3,18,26,31,33,30,2,5,261,13919,223217,370901400,16084700,332700,6500,1000,0
